,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,alaws,n,k.o. *bird; *hawk or *kite of the family *Accipitridae,,,,,bird,,,,,
,a,ale-ale,,,,,,,,ale-ale akang,,,,
,a,ale-ale,vt,to *soothe s.o. (an infant) by dancing or singing; to *lullaby s.o.,,,,,,baale-ale,,,,
,a,ale-ale,vi,to *lullaby or *amuse and soothe children,,,,,,,,,,
,a,alelend,n,k.o. epiphytic *fern; [%*Drynaria~rigidula|] <*epiphyte>,,,,,plant,,,,,
,a,alengo,part,a *moment ago ; *mentioned earlier; *aforesaid,alengo kulanggari pasar sunyi manusia mo| A few minutes ago I passed by the market. ; ...supaya daung alengo itu dadi kasal| ...so that the aforementioned leaves become,,,,,,,,,
,a,alhamdu,,,,,sukur alhamdu,,,,,,,
,a,alidarng,n,k.o. traditional fried *cake made of rice flour and palm sugar,,,,,,,,,,
,a,alifuru,n,*animist; *pagan ; to be a *naive person; to behave like a *rustic or *unsophisticated person (e.g. to be,si jani alifuruna| Mujani's lack of sophistication is really something.,,,Derogatory,,,,,,
,a,alilipang,n,*centipede; class *Chilopoda,,,alimamayang ; calumeme,,insect,,,,,
,a,alim,v,*pious,,,,,,,,,,
,a,alimamayang,n,k.o. luminescent *centipede; class *Chilopoda,,,alilipang ; calumeme,,insect,,,,,
,a,alimarang,part,*last~night,,,ari malang,,,,,,,
,a,alimpapat,n,*firefly; fam. *Lampyridae ; *ladybug; fam. *Coccinellidae,,,,,insect,,,,,
,a,alimposuk,n,*whale; order *Cetacea,,,posuk ; paus-paus,,sea creature,,,,,
,a,alinamung,n,a sea *plant; with clusters of strap-like leaves,,,,,plant,,,,,
,a,alinang kalo,n,k.o. *snake; probably the *flat~sea~snake; [%*Pelamis~platurus|],,,ular,,sea creature,,,,,
,a,alintangang,n,the cross-*beam supporting ceiling boards,,,lintang,,house,,,,,
,a,alinggoi,n,k.o. *lizard; perhaps [%*Mabouya~multifasciata|] ; k.o. lizard; perhaps a *chameleon; [%*Calotes~|sp.],,,,,animal,,,,,
,a,aliofa,n,k.o. large; pink *fish; remarkable for its long tongue,,,,,fish,,,,,
,A,Allah,n,*God,,,alahumadafa/ ; insallah ; ompu lahtala ; ya ala ; ya ilahi,,,,,,,
,a,almanangkir,n,the two *angel|s who question the spirit of the dead,,,mungkar ; nakir ; malaekat,,spiritual,,,,,
,a,almank,n,*calendar,,,tanggal,,,,,,,
,a,almarhm,n,the *deceased; the *late ; a sobriquet attached to the name of the dead,almarhm pa umar| Mr. Umar; the deceased,,mati-mati ; aruaha,,,,,,,
,a,alolang,n,*twine (esp. o. made of palm fiber),,,,,,,,,,
,a,alolong,,,,,datuk,,,,,,,
,a,alu,n,*mortar,,,,,,,,,,
,a,alu-alu,n,k.o. *fish; *barracuda; [%*Agrioposphyranea~barracuda|]; possibly,,,,,fish,,,,,
,a,alu-alungang,n,*wave,,,suru-surung,,nat phen,,,,,
,a,alus,vi,*small; *fine,,,,,,alusa,,,,
,a,alus,n,very fine *substance; *particle; *dust ; the *small one,,,,,,alu-alus,,,,
,a,alus,vi,very fine; extremely small,ujang alu-alus| a very light shower,,,,,,,,,
,a,aman,vi,*peaceful; at peace,jadi rencana alengo itu gagal karna tala aman | Thus; that plan of theirs failed because it,,,,,,,,,
,a,amas,n,*gold,,,,,,,,,,
,a,amas tampawang,,,,,mas tampawang,,,,,,,
,a,amasing kali,n,a *village somewhat inland from Labuha's north side,,,,,place name,,,,,
,a,amasing kota,n,the northeastern side of Labuha; where most Bacan speakers reside,,,,,place name,,,,,
,a,ambasaya,n,*peasant; *common~*folk (without a palace rank),,,,Arch,society,,,,,
,a,ambat,v,to erect *obstruct|ions; to *dam a river ; to *cast a net (in order to block a school of fish) in a certain direction,Ambat ka kairi | Cast lefthand,,,,,ambati,,,,
,a,ambat,v,to *obstruct s.t.,,,,,,amba-ambat,,,,
,a,ambat,n,sago *midrib|s added to the sides of a boat to *deflect waves; a temporary *strake ; any *obstruction; temporary door; etc.,,,,,sailing,,,,,
,a,ambaya,conj,*when; at the time that; at the beginning,Ambaya ujang pasi batodu de jojaga. |When it began to rain; they sought shelter in a ; ambaya motor itu kapo de ini; kami barikang| When the motorboat arrives here; we will,,,,,,,,,
,a,ambon,n,an island; *Ambon,,,,,,,,,,
,a,ambulung,n,*sago *palm; [%*Metroxylon~|sp.] ; k.o. *sago palm with pale green thorns ; k.o. thornless *sago palm; with very sharp leaves ; k.o. large *sago palm ; k.o. *sago palm bearing little pith but harvested for its midribs and bark ; k.o. *sago palm ; k.o. large *sago palm ; k.o. *sago palm with a tapering base,bakaya de si ambulunga | You're going to process sago flour at whose sago palms?,,baku ; bakaya,,sago ; sago ; sago ; sago ; sago ; sago ; sago ; sago,,ambulung duri puti ; ambulung licing ; ambulung pulutang ; ambulung nggani ; ambulung sike/ ; ambulung soang ; ambulung tirus,,,
,a,aming,,,,,ga aming,,,,,,,
