,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,t,tautang,v,to treat s.o. at s.o.'s request,,,,,,tau-tautang akang,,,,
,t,tautang,v,to treat s.o. intensively,,,,,,batautang,,,,
,t,tautang,vi,to undergo medicinal treatment,,,,,,,,,,
,t,tayong,n,k.o. sea urchin; the *black~long-spined~*sea~urchin; [%*Diadema~setosum|] ; k.o. sea urchin; [%*Echinothrix~|sp.]; incl. the *banded~long-spined~*sea~urchin ; k.o. *echinoderm; a seastar; the *crown~of~thorns~*starfish;,,,duri babi,,sea creature ; sea creature ; sea creature,,tayong batu ; tayong nggaoti,,,
,t,tawf,vi,to *circumambulate the Kaba in Mecca; o. of the obligatory tasks of the pilgrims ; to move around; to *circle around; to *encircle ; to undertake a trip to several places <*travel>; to *wander,murabi kalero musi mutawf| If you're burning (coral) in a fire; you must continually ; andekat ini tawf di mana ni| Where is this child wandering now?,,,,,,,,,
,t,te,n,*tea; esp. with sugar,te loa-loa| tea without sugar or milk,,,,,,,,,
,t,teli$1,n,*spine or *lath of a piece of thatch to which the leaves are affixed,,,teri,,,,,,,
,t,teli$2,,to *spread gossip and rumors,,,tial,,,bateli-teli,bateli-teli fitana/,,,
,t,telor,vi,to have a *speech~defect,,,,,,,,,,
,t,tembal,n,*spout to drain rainwater from gutters,,,,,house,,,,,
,t,tembing,n,river *bank,,,,,,batembing,,,,
,t,tembing,vi,to *slope downward (of land),,,,,geography,,,,,
,t,tempang,vi,*lame,,,,,health,,,,,
,t,tempik,v,to *break s.t. into pieces,Ia mutempik tarapesa. | He broke the chair.,,,,,tempiki,,,,
,t,tempik,v,to break s.t. off for s.o.,tempiki baku | to break off a piece of sago bread,,,,,tempik akang,,,,
,t,tempik,v,to break s.t. for s.o.,,,,,,batempik,,,,
,t,tempik,vi,to engage in breaking s.t. up,batempik lalondang| to break up sugarcane (so it can be crushed easily),,,,,natempik,,,,
,t,tempik,vi,to have been *broken,,,,,,,,,,
,t,tempo-tempo,adv,*occasionally,,,sakali-sakali,TM,,,,,,
,t,tenang,n,k.o. *tree,,,,,plant,,,,,
,t,tentara,n,the *armed~forces; the *military ; *soldier,,,,,,,,,,
,t,tentukan,v,to *determine,,,tantukang,Indonesian,,,,,,
,t,tenga,n,*center; *middle,,,,Indonesian,,,,,,
,t,tengahari,n,*noontime; *mid-day,,,,Indonesian,,,,,,
,t,tep,n,*tape-recorder,,,,,,,,,,
,t,terbang,,,,,lapangang,,,,,,,
,t,terepesa,,,,,tarapesa,,,,,,,
,t,teri,n,the *lath around which a piece of palm *thatch is made,,,teli,,,,,,,
,t,tes-tes,ideo,sound of a light *rain on the roof <*pitter-patter>,,,,,,,,,,
,t,tete,n,*grandfather,,,,,kinship,,,,,
,t,tetes,n,a *drop,,,,,,tetesi,,,,
,t,tetes,v,to release in drops on s.t.; to *drip on s.t.,tetesi tautang de mataku | Drip the medicine into my eye,,,,,tetes akang,,,,
,t,tetes,v,to release some liquid in drops for s.o.,,,,,,,,,,
,t,tewa-tewa,,,,,aur tewa-tewa,,,,,,,
,t,tial,v,to *connect or tie together s.t. (e.g. rope) ; to spread *gossip or *rumor|s,,,teli$2,,,patial,batial-tial fitana/,,,
,t,tial,v,to *splice s.t.; to *secure connecting lashing,,,,,,patial akang,,,,
,t,tial,v,to splice s.t. for s.o. else,,,,,,panialang,,,,
,t,tial,n,*splice; *connection,,,,,,,,,,
,t,tiang$1,n,*mast ; *post ; the main *house~post,,,,,boat,,tiang raja,,,
,t,tiang$2,,,,,,,,batiang,,,,
,t,tiang$2,vi,to be *pregnant ; *gravid (of fish),,,,,health,patiang akang,,,,
,t,tiang$2,v,to cause s.o. to be pregnant; to *impregnate,,,,,,,,,,
,t,tiap$1,pn,*every ; *every,,,,,,,tiap-tiap,,,
,t,tiap$2,v,to *count s.t.; to *calculate s.t.,ia mutiap untunga| She was calculating her profit,,,,,batiap,,,,
,t,tiap$2,vi,to engage in computing and counting,,,,Arch,,,,,,
,t,tiarap,vi,to *lie face down,,,,,,tiarap akang,,,,
,t,tiarap,v,to *turn s.t. face down,,,,,,tatiarap,,,,
,t,tiarap,vi,to have *turned over (of a boat at sea) <*capsize>,,,,,,,,,,
,t,tibas,v,"to *split wood by striking the end with an axe and twisting 
 sideways <*strike>",,,,,,,,,,
,t,tibas,n,*splinter; a *piece of wood twisted off a branch,kayu tibasa |a split of wood,,,,,tibasi,,,,
,t,tibas,v,to split s.t. for s.o.,,,,,,tibas akang,,,,
,t,tibas,v,to split s.t. at s.o.'s request,,,,,,batibas,,,,
,t,tibas,vi,to perform wood-splitting as a task or chore,sapatang itu di mansia kawing puda batibas kayu sigodo bapolu-polu | That night at the,,,,,,,,,
,t,tida ada,vi,to be *nonexistent,,,moyo,Indonesian; often used to emphasize statements,,,,,,
,t,tida bisa,part,*impossible; *forbidden,,,pauli,Indonesian,,,,,,
,t,tida perna,part,*never,,,bolung,Indonesian,,,,,,
,t,tidore,n,an *island and city; *Tidore; site of a former sultunate,,,tadore,,,,,,,
,t,tidu,v,to *sleep ; to take a *siesta; to take a *nap during the day ; to *fling o.'s arms and legs in sleep; to *toss~and~turn ; to take a *siesta; to take a *nap,,,,,,tidui,tidu caya-caya ; tidu jat ; tidu ondo-ondo,,,
,t,tidu,v,to *sleep on s.t. or s.o.,sapi mutidui mut isampat tiola de bangkurunga ia| Sapi slept all over Mut; with his feet,,,,,tidu akang,,,,
,t,tidu,v,to put s.o. to *sleep (e.g.; o.'s child; etc.),,,babolo ; jinak ; tidur,,,,,,,
,t,tidur,,,,,tidui,,,tiduri ; tidur akang,,,,
,t,tidur,v,to put s.o. to sleep ; to put s.t. down flat,,,,,,batidurang,,,,
,t,tidur,vi,to sleep together in large numbers ; *sleeping~place; (e.g. *bed),,,,,,tidurang ; katidurang,tampa tidurang,,,
,t,tidur,n,place of *repose; *sleeping~place (e.g.; bed; mat; etc.),,,tidu,,,,,,,
,t,tijak,v,to *step~on; to *tread ; a *ceremony in the *wedding *ritual in which the marital couple first leaves the house,tijak rem | step on the brakes,,,,,tijaki,tijak lecak,,,
,t,tijak,v,to step on s.t.,,,,,,tijak akang,,,,
,t,tijak,v,to step on s.t. at another's request,,,,,,batijakang,,,,
,t,tijak,vi,to step on e.o.,,,,,,bati-batijakang,,,,
,t,tijak,vi,to step or tread on e.o. (of large numbers),,,,,,pani-panijakang,,,,
,t,tijak,n,*stepping-stone; *foothold,,,,,,,,,,
,t,tikam,,,,,,,,bapatikamang,,,,
,t,tikam,vi,to *tell each other; to mutually *inform; to exchange *utter|ances,,,,,,batitikamang,,,,
,t,tikam,vi,to hold *discuss|ions,,,batikang,,,,,,,
,t,tikar,n,k.o. *mat,,,didit,,,,,,,
,t,tikir,n,*gums,,,,,body,,,,,
,t,tikolok,n,*throat,,,,,body,tikoloki,,,,
,t,tikolok,v,to *call s.o.,,,,,,tikolok akang,,,,
,t,tikolok,v,to *summon; to *call,,,,,,batikolok,,,,
,t,tikolok,vi,to be engaged in *shout|ing to call others or in *summon|ing,guru batikolok imba: lut| The Quranic teacher summoned from over there 'Lut!',,,,,,,,,
,t,tikus kupang,n,*shrew; whose squeaking is similar to the ring of coins (i.e. %kupang|); fam.,,,ompu ruma,,animal,,,,,
,t,tilantang,,,,,,,,tilantang akang,,,,
,t,tilantang,v,to *lift s.t. up while providing support under the back (e.g. of a child),,,,,,titilantang,,,,
,t,tilantang,vi,to *sleep on o.'s back; to be *supine,,,,,,tila-tilantang,,,,
,t,tilantang,vi,to be lying on o.'s back for some time,,,,,,,,,,
,t,tilong,,,,,,,,tilong akang,,,,
,t,tilong,vt,to *roast s.t. until crisp or charred,,,,,culinary,batilong-tilong,,,,
,t,tilong,vi,*burned crisp; *charred and inedible,,,,,culinary,,,,,
,t,timamak,vi,to *scream from pain; to *shriek while *cry|ing,,,,,,,,,,
,t,timba,v,to *bail s.t. (water),,,,TM,,tatimba,,,,
,t,timba,n,bailing *scoop,,,,,,,,,,
,t,timbangang,n,a *scale to measure weight,,,,,,,,,,
,t,timbul,vi,to *float; to *rise to the surface,,,,,,timbul akang,,,,
,t,timbul,vt,to set *afloat; to cause s.t. to *float,ada kalanya sod itimbul akang itu bu:| There have been times when it reached a point,,,,,batimbul,,,,
,t,timbul,vi,to float for some time; to be characterized by the ability to float,pampenyu tu tala batimbul inycana| That sea turtle is floating over there.,,,,,,,,,
,t,timu:,n,*tin; *lead ; *lead ; *tin ; *sinker; lead *weight|s of a net,,,,,fishing,,timu: nggoa ; timu: puti,,,
,t,timumung,v,to *collect; to *gather up,,,,,,batimumung,,,,
,t,timumung,vi,to *gather together; to *collect in a crowd,jadi kita musi batimumung ka mai rame-rame| So we must gather together over here in,,,,,,,,,
,t,timur,n,a *point of the compass; *east ; a *point of the compass; *northeast ; a *point of the compass; *east-southeast,,,,,,,timur laut ; timur manunggara,,,
,t,tindi,,,,,,,,tindi:,,,,
,t,tindi,v,to *press down on s.t. ; to *squeeze (a louse),,,,,,tindi akang,,,,
,t,tindi,v,to press s.t. down at s.o.'s request,,,,,,batitindiang,,,,
,t,tindi,vi,to *press against each other; e.g.; in a *jam-packed bus; or on a *crowded bed ; to be *piled up on top of each other; e.g.; logs or palm midribs in a pile,,,,,,,,,,
,t,tindi-tindi,n,wooden *cover of sago mold,,,,,sago,,,,,
,t,tiniku,n,(finger) *nail ; *claw; *talon,,,,,body,,,,,
,t,tiniku tinggi,n,k.o. female *vampire,,,,,,,,,,
,t,tintiau,n,k.o. *cake made with *sago; coconut cream; and other ingredients,,,,,sago ; food,,,,,
,t,tintis,n,k.o. small red *bird; similar to a *parrot,,,,,bird,,,,,
,t,tingada,vi,to *gaze upward,,,,,,tingada akang,,,,
,t,tiwadak,n,k.o. *jackfruit; [%*Artocarpus~champeden|],,,naka,,plant,,,,,
,t,to: tu,pn,that one *there,,,,,,,,,,
,t,toang,n,k.o. *fish; the *white~*trevally; [%*Caranx~nobilis|],,,,,fish,,,,,
,t,toap,v,to *steam s.t.,,,,,culinary,toapi,,,,
,t,toap,v,to steam s.t. specific,,,,,,toap akang,,,,
,t,toap,v,to steam s.t. for s.o.,,,,,,batoap,,,,
,t,toap,vi,to be engaged in steaming foods ; to undergo a *ritual and medicinal steaming process in which the patient; usually a,,,,,,panoapang,,,,
,t,toap,n,utensils used for steaming; the place where steaming takes place <*steamer>; e.g. the,,,,,,,,,,
,t,tobaua,n,s.o. who does not learn from unpleasant experiences; *recalcitrant; *unrepentant,,,,,,,,,,
,t,tobelo canga,n,a sobriquet for *mean and *belligerent persons; esp. children,,,canga,,,,,,,
,t,tobok,v,to *stab with a knife; esp. with an underhand lunge ; to *perforate (a blister); to *skewer s.t.,,,,,,toboki,,,,
,t,tobok,v,to stab or perforate s.t. specific (for s.o.),,,,,,toboki akang,,,,
,t,tobok,v,to stab s.t. at s.o.'s request,toboki akang wowo hapanggal ka mai| Skewer a piece of mango and give it to me,,,,,tobok akang,,,,
,t,tobok,v,to jab or perforate s.t. at s.o.'s request,kau mutobok akang duriku di tiol| Can you jab at (and pry out) that thorn in my foot?,,,,,batobok,,,,
,t,tobok,vi,to stab as a task; e.g. to hunt and kill deer,,,,,,bato-batobokang,,,,
,t,tobok,vi,to stab e.o.,,,,,,,,,,
,t,tobus,v,to *redeem s.t. pawned,,,,,,tobusi,,,,
,t,tobus,v,to redeem s.t. for s.o.,,,,,,tobus akang,,,,
,t,tobus,v,to redeem s.t. at another's request,,,,,,tobusi akang,,,,
,t,tobus,v,to redeem s.t. for s.o. at another's request,mutobusi akang masiku de pa kardi | Redeem my gold for me at Kardi's goldshop,,,,,,,,,
,t,tobusala,n,k.o. *cane or *reed used for plaiting,,,,,,,,,,
,t,todu,vi,*calm (of the sea) ; *quiet,,,,,,todu akang,,,,
,t,todu,v,to cause s.t. to *sedimentate,,,,,,batodu,,,,
,t,todu,vi,to seek *shelter,istir cece mo haiwn duduk indalang batodu| Make sure no animal is inside seeking ; basalng ujang kita batodu de jojaga si ripai| If it rains; we'll shelter in Rivai's garden,,,,,,,,,
,t,tofahe,vi,to be cooked very *dry (of rice; the grains of which do not adhere; of sago bread that,,,,,,,,,,
,t,tofor-tofor,vi,*shallow,,,lande,a TM term used by younger speakers,,,,,,
,t,tofu,v,to *pile~up; to *collect s.t.,,,,,,batofu-tofu,,,,
,t,tofu,vi,to *crowd; to *collect in large numbers ; to be *heaped up; to have been collected in large numbers,,,,,,,,,,
,t,togal,n,k.o. drum and violin *music,,,,,,batogal,,,,
,t,togal,vi,to *play or *dance to such music,,,,,,,,,,
,t,togas,vi,to *spin in place; to *gyrate ; to go and very much later *return,,,,,,,,,,
,t,togor,vi,*hard,,,,,,togori,,,,
,t,togor,v,to harden s.t. for s.o. else,,,,,,patogori,,,,
,t,togor,v,to *harden s.t. (e.g. sago bread by *sun|ning it); to increase the hardness of s.t.,,,,,,patogori akang,,,,
,t,togor,v,to carefully harden or toughen s.t. at s.o.'s request,,,,,,togor-togor,,,,
,t,togor,vi,*brackish (of water),,,,,,batogor-togor,,,,
,t,togor,vi,to be characteristically very hard,,,saloban,,,,,,,
,t,toguhi akang,v,to perform some task or do s.t. with great intensity; to *concentrate on s.t.,,,,,,,,,,
,t,toguhu,vi,*intense; *perspicacious,,,,,,,,,,
,t,togr,v,to *greet s.o.; to say hello (when passing by s.o.),,,,,,batograng,,,,
,t,togr,v,to exchange greetings; to say hello to e.o.,,,buai,,,,,,,
,t,tohoko,n,k.o. *bird,,,,,bird,,,,,
,t,tojung,v,to *leap on a level surface,,,,,,tojungi,,,,
,t,tojung,v,to leap at s.o.; to jump in front of s.o. ; to *pounce on s.t.,,,,,,tojung akang,,,,
,t,tojung,v,to leap in front of s.o.,,,,,,tojung-tojung,,,,
,t,tojung,v,to repeatedly *jump ; to *dance with leaping movements,,,,,,,,,,
,t,toki,v,to *rap; esp. with a downward thrust of the *knuckle|s,,,koke ; antuk,,,,,,,
,t,toko,n,*shop; *store,,,,,,,,,,
,t,tola bumi,,,,,tola gumi,,,,,,,
,t,tola gumi,v,to *open up new land; to prepare forest land,,,marentes,,,,,,,
,t,tolap,n,k.o. *fish,,,,,fish,,,,,
,t,tolban,n,k.o. sponge *cake made of *sago flour and egg,,,,,sago ; food,,,,,
,t,tolo-tolo,n,the *whorl of o.'s hair,,,,,,,,,,
,t,tolouro,n,k.o. *fish; [%*Megalaspis~cordyla|],,,,,fish,,,,,
,t,tolu,num,*three,sapl tolu| thirteen,,,,,,,,,
,t,tolur,n,*egg,,,,,,batolur,,,,
,t,tolur,vi,to *lay~egg|s,,,,,,panolurang,,,,
,t,tolur,n,*nest; esp. of fowls,,,panolurang,,,,,,,
,t,tomang,vi,*complete; undiminished,,,,,,patomangi,,,,
,t,tomang,v,to *reconstitute the unity of s.t.; e.g. to put back together a durian which was split,,,,,,tomang-tomang,,,,
,t,tomang,vi,*entire; *whole,Italang lao tomang-tomang.| He swallowed the fish whole. ; saudang tomang-tomang| for the whole month,,,,,,,,,
,t,tombong,n,the *flesh|y seed-bud of in a coconut,,,,,,,,,,
,t,tome-tome,n,k.o. *tree bearing sour *fruit; perhaps [%*Flacourtia~inermis|],,,,,plant,,,,,
,t,tomo,v,to *move (i.e.; paddle; swim; etc.) against  s.t.; e.g. the wind or current,des ma tomo itu nawa-nawang pauli moyo| Thus it simply cannot move out against the,,,,,,,,,
,t,tomo obo,n,k.o. culinary technique in which a fish is deboned; stuffed with peanuts and spices,,,,a TM term,,,,,,
,t,tomok,n,k.o. *plant having edible *rhizomes and bright red flowers; [%*Canna~edulis|],,,,,plant,,,,,
,t,tonang,n,a *sauce to accompany *sago porridge,,,,,food,batonang,,,,
,t,tonang,vi,to be served with a sago sauce,kapurung bahalng tamau nyamang singofu batonang lao kirng kuana| Sago porridge;,,,,,,,,,
,t,tonap,vi,*smelling of defecation; *malodorous,,,,,,,,,,
,t,tondok$1,n,*fence,tiang tondok | fence post,,,,,,,,,
,t,tondok$2,n,a *place near Labuha,,,,,,,,,,
,t,tonobane,vi,to get a *ride; to be a passenger,,,,,,batonobane,,,,
,t,tonobane,vi,to engage in getting a ride,,,,,,patonobane,,,,
,t,tonobane,v,to give s.o. a ride,,,,,,,,,,
,t,tontong,n,k.o. *fish; the *lined~*spine-cheek; [%*Scolopsis~cancellatus|] ; k.o. *fish; the *whiptail; [%*Pentapodus~setosus|],,,,,fish ; fish,,tontong nggaeka,,,
,t,tonung,,,,,,,spiritual,batonung,,,,
,t,tonung,vi,to engage in *fortune-telling; *clairvoyant communication and other such *paranormal,,,,,spiritual,patonungi,,,,
,t,tonung,vt,to *point~out a perpetrator by using *magic; to *determine s.t. by spells and reading,,,,,,patonungi akang,,,,
,t,tonung,v,to point out a perpetrator by clairvoyance or magic at the request of another,,,,,,,,,,
,t,tong$1,v,to *bark at s.o. (of dogs),,,mano/ng,,,,,,,
,t,tong$2,n,k.o. large *barrel or metallic storage *drum,,,,,,,,,,
,t,tongo,pn,a small *amount ; a *bit; a *few,pauli tadapa doit tongo sen fur balanyja| We can get a few cents' worth of money for,,,,,,tongo diki,,,
,t,tongoli,v,to *drink in one *gulp ; to drink alcohol in *swig|s,,,,,,,,,,
,t,to$1,part,and the *others,de yono to rumana | at Yono and his family's house,a marker used to pluralize or collectivize personal pronouns,,,,,,,,
,t,to$2,part,*you~know,papa to kapo mutauli kam| Father; you know; came to check on you.,,,,,,,,,
,t,topang,v,to *attack (of predatory fish) ; to *browbeat or *out-maneuver (of a powerful person),,,,,,batopang,,,,
,t,topang,vi,to be in the process of attacking other fish,,,,,,,,,,
,t,topa-topal,n,the high *tip|s of the *prow|s of certain Bacan boats,,,,,,,,,,
,t,topo,v,to *clap at s.o. (to attract that person's attention) ; to clap for s.o. (in appreciation),mutopo ia ka mai hadiki | Please clap for him to come,,,,,topoi,,,,
,t,topo,v,to clap at s.o. for s.o.,,,,,,topo akang,,,,
,t,topo,v,to clap at s.o. at s.o.'s request,,,,,,batopo,,,,
,t,topo,vi,to clap the hands,,,batampar tangang,,,,,,,
,t,topng,n,wheat *flour ; rice *flour,,,,,food ; food,,topo/ng pamasik,,,
,t,tore,vi,*dry and *hard (but still chewable) of food which is fried or sunned,,,,,,tore-tore,,,,
,t,tore,vi,*crisp,,,,,,,,,,
,t,torong,,,,,,,,torongi,,,,
,t,torong,vt,to *give s.t. in large quantities to s.o.,,,,,,,,,,
,t,torori,v,to *sedimentate,,,,,,,,,,
,t,torori,vi,to have cleared up (because impurities have settled); said of water and other liquids,,,,,,patorori,,,,
,t,torori,vi,to cause s.t. (e.g. dregs) to *sedimentate,,,,,,,,,,
,t,torosol,vi,to *pester; *annoy; *interrupt or *bother others,,,,,,batorosol,,,,
,t,torosol,vi,to be engaged in bothering and *fuss|ing around,,,,,,,,,,
,t,torus,part,*then; immediately *afterwards; after that,kami imba: de ba: torus kami singga di si umar to | We went over there (at the east,,,,,,,,,
,t,torus,adv,*incessantly; *continuously,anandeket ni balampo torus | This child is always on the move,,,,,torus akang,,,,
,t,torus,v,to continue s.t. (o.'s journey; unrolling a measuring tape) at s.o.'s request,torus akang ka lau | Continue in the direction of the sea,,,,,patorusi,,,,
,t,torus,v,to extend s.t. in the same direction,,,,,,,,,,
,t,torp,,,,,batoro/p,,,,,,,
,t,tosa,n,*reserve; s.t. extra set aside,botang fur tosa | Put it away as a reserve supply (of food),,,,,batosa,,,,
,t,tosa,vi,to keep extra supplies; to have reserves,,,,,,,,,,
,t,totak,vt,to *shake s.t. (e.g.; clothes) to remove dust or crumbs,,,,,,totaki,,,,
,t,totak,v,to shake s.t. for s.o.,,,,,,patotak,,,,
,t,totak,vi,to *stamp o.'s feet and *flail o.'s arms in exasperation or a willful *pout,,,,,,,,,,
,t,toto,pn,*that~thing; that *one ; this one exactly ; that one precisely,ana seni toto ini | Precisely these boys ; toto itu itu | Exactly that one there,,,,,,toto ini ; toto itu,,,
,t,totorang,,,,,bobot totorang,,,,,,,
,t,totu,n,*great-grandparent,,,cece$2 ; piut,,kinship,,,,,
,t,totuko,n,k.o. *fish; perhaps the *northern~bluefin~*tuna; [%*Kishinoella~tonggol|],,,,,fish,,,,,
,t,tring,,,,,cring,,,,,,,
,t,trumpt,,,,,turumpe/t,,,,,,,
,t,tu,pn,*that ; *the *aforesaid,,,itu,,,,,,,
,t,tua,vi,*old (of persons),,,,,,patuai,,,,
,t,tua,v,to allow s.t. to *ripen,,,,,,patua akang,,,,
,t,tua,v,to let s.t. *go~to~seed; to grow s.t. to its full ripeness to obtain seeds for planting,,,,,,tua-tua,,,,
,t,tua,vi,*old (of things),,,,,,,,,,
,t,tua,n,*elder|s,,,,,,tu-tua,,,,
,t,tua,n,*elder|s,,,,,,,,,,
,t,tuala,n,*handkerchief,,,,,,,,,,
,t,tuar,n,*stump; esp. of small trees,,,,,,batuar,,,,
,t,tuar,vi,to be characterized by stumps (e.g. a recently cleared forest),,,,,,,,,,
,t,tuarakang,v,to *leave s.o. behind on purpose; to *ditch s.o.,,,,,,,,,,
,t,tuba,vi,*bitter,,,,,,batuba-tuba,,,,
,t,tuba,vi,to have the characteristic of bitterness (when tasted),,,,,,patubai,,,,
,t,tuba,v,to make s.t. bitter,,,,,,,,,,
,t,tuba kayu,n,k.o. fish *poison; k.o. *root used to make a fish *poison; *tuba~root;,,,,,plant ; fishing,,,,,
,t,tubas,v,to cause land to *slide down,,,,,,tubas akang,,,,
,t,tubas,v,to cause s.t. to collapse; to *scrape away s.t. (land),,,,,,natubas,,,,
,t,tubas,vi,to have *collapsed by a *landslide,,,,,,,,,,
,t,tubin,n,*four~days~from~now,,,,,,,,,,
,t,tudang,,,,,sapat-,,,,,,,
,t,tuda-tuda,n,*loop; usually of rattan; fastening the strut to the boat,,,,,,,,,,
,t,tuging,n,k.o. boring *tool; a *gimlet,,,,,tool,,,,,
,t,tuhang,n,*God,,,Allah,,,,,,,
,t,tuju,v,to *shoot s.t. or s.o.,,,,,,tujui,,,,
,t,tuju,v,to *shoot at some target or person,,,,,,tuju akang,,,,
,t,tuju,v,to *shoot at another's request,,,,,,batuju,,,,
,t,tuju,vi,to engage in shooting,,,,,,,,,,
,t,tujublas ramadn,n,the Islamic *holiday commemorating the descent of the angel Jibrail to reveal the,,,,,spiritual,,,,,
,t,tujui,vi,to travel in some direction,tujui de awangg| to travel in the direction of Awangg.,,,,,,,,,
,t,tuka,v,to *buy s.t.,,,,,,tukai,,,,
,t,tuka,v,to buy s.t. for s.o.,tukai aku pondo habua| Buy me a shirt.,,,,,tukai akang,,,,
,t,tuka,v,to *buy s.t. for s.o. at s.o.'s request,tukai akang pondo habua bo si ali| Buy a shirt for Ali.,,,,,tuka akang,,,,
,t,tuka,v,to buy s.t. at s.o.'s request,,,,,,batuka,,,,
,t,tuka,vi,to make a purchase (as a task),alengo kusu: si umar batuka tabako| Just now I told Umar to buy cigarettes,,,,,batuka-tuka,,,,
,t,tuka,vi,to make purchases repeatedly or intensively,,,tukaya,,,,,,,
,t,tukang,n,*craftsman; *workman ; *blacksmith,,,bayaka ; burung tukang,,,,tukang bayaka,,,
,t,tukaya,n,*price ; *bride~price,tukayana sabay | What's its price?,,tuka,,,,tukaya kawing,,,
,t,tula,n,*three~days~from~now,,,,,,,,,,
,t,tulak,vt,to *push,,,,,,tulaki,,,,
,t,tulak,vt,to *push at s.t.,,,,,,tulak akang,,,,
,t,tulak,vt,to *push at s.o.'s request,,,,,,batulak,,,,
,t,tulak,vi,to engage in *pushing,,,,,,batutulakang,,,,
,t,tulak,vi,to *push each other; to *jostle,,,,,,,,,,
,t,tulang,n,*bone ; *backbone ; *shin bone; *tibia,tulang natempik | broken bone,,sabe-sabel,,body ; body,,tulang bangkurung ; tulang keringa,,,
,t,tulung,v,to *assist; to *help,Kau mutulung aku hadiki. |Give me some help; will you?,,,,,tulungi,,,,
,t,tulung,v,to *help s.o.,,,,,,tulungi akang,,,,
,t,tulung,v,to *help s.o. at the request of another,Kau mutulungi akang ia basintak nyjong. | Help him beach his boat!,,,,,tulung akang,,,,
,t,tulung,v,to *help s.o. at his or her request,,,,,,batulung,,,,
,t,tulung,vi,to extend *aid,,,,,,batulungang,,,,
,t,tulung,vi,to extend *aid (of many persons),,,,,,batu-batulungang,,,,
,t,tulung,vi,to *help e.o.,kam pabua foloi pauli kita batu-batulungang| You make extra then we will be able to,,,,,,,,,
,t,tum,ideo,the sound of *splash|ing or diving,,,,,,batm,,,,
,t,tum,v,to *dive (deeply); to *swim underwater,,,manyalang,,,,,,,
,t,tuma,n,k.o. *insect; body *louse; order *Phthiraptera ; *tick; (*Acari); or *flea (*Siphonaptera),,,bawi tumana ; iyu tumana ; linyca ; daung tumana,,insect,,,,,
,t,tumbak$1,vt,to *hew s.t. to *split and *shape s.t. (wood) into blocks suitable for chopping into,,,,,,tumbaki,,,,
,t,tumbak$1,v,to hew s.t. for s.o.,,,,,,tumbak akang,,,,
,t,tumbak$1,v,to hew s.t. at s.o.'s request,,,,,,batumbak,,,,
,t,tumbak$1,vi,to engage in wood-hewing,,,,,,,,,,
,t,tumbak$2,n,k.o. *spear ; sharpened *stake,,,,,,,,,,
,t,tumbol,v,to *poke at s.t. (fruit; etc.) with a *pole,,,,,,tatumbol,,,,
,t,tumbol,n,*cane; *staff; walking *stick ; k.o. *pole or *cross-piece used to spread a net apart for drying,,,,,tool,,,,,
,t,tumbu,,,,,,,,batumbu,,,,
,t,tumbu,vi,to *sprout (of plants),,,,,,patumbu akang,,,,
,t,tumbu,v,to cause s.t. to sprout,,,jarung$2,,,,,,,
,t,tumbulawang,n,"k.o. *ginger; the *rhizome|s of which are medicinal; 
 [%*Curcuma~xanthorrhiza|]
 <*medicine>",,,,Arch,plant,,,,,
,t,tumbuni,v,to *blow on s.t.,,,,,,tumbuni akang,,,,
,t,tumbuni,v,to *blow at s.t. at another's request,Tumbuni akang mataku. |Blow into my eyes (to remove a particle there).,,,,,batumbuni,,,,
,t,tumbuni,vi,to engage in blowing (e.g. to ignite a fire),,,,,,batu-batumbuniang,,,,
,t,tumbuni,vi,to blow at e.o.,,,,,,,,,,
,t,tumburafu,vi,to do as o. likes; to be *self-centered; to be so *egotistical that o.'s behavior is *erratic,,,,,,,,,,
,t,tumbu-tumbuhan,n,*plants; *vegetation,,,,a recent loan from Indonesian,,,,,,
,t,tumping,n,a fleshy *growth on the skin,,,,,body,,,,,
,t,tumpul,vi,*dull; *blunt-edged,,,,,,,,,,
,t,tunas$1,n,k.o. *tree,,,,,plant,,,,,
,t,tunas$2,n,young *branch,,,,,,,,,,
,t,tunduk,v,to *lean forward,,,,,,batunduk,,,,
,t,tunduk,vi,to be in a *bent or leaning position,,,,,,,,,,
,t,tundung,n,the*stalk (of certain fruits; e.g. *coconuts); incl. the *peduncle and multiple *pedicel|s,,,,,,,,,,
,t,tundung,num con,a *bunch or *cluster; a counter of certain fruits,,,,,,,,,,
,t,tuntut,v,to charge s.t. in a legal proceeding,,,,,,manuntut,,,,
,t,tuntut,vi,to be a complainant in a legal proceeding,,,kala/k,,,,,,,
,t,tunu,v,to set *alight (a torch or lantern) ; to start a fire <*ignite>,,,,,,tunui,,,,
,t,tunu,v,to light s.t. for s.o.,tunui ia padamara | Light a lamp for him,,,,,tunu akang,,,,
,t,tunu,v,to *light s.t. at s.o.'s request,,,,,,batunu,,,,
,t,tunu,vi,engage in lighting (e.g. lighting lanterns at nightfall),,,,,,,,,,
,t,tunng,v,to *weave s.t.,,,,Arch,,,,,,
,t,tung,n,k.o. small long hand-held drum,,,,,,,,,,
,t,tunggar,n,k.o. *tree,,,,,plant,,,,,
,t,tunggara,n,a *point of the compass; *southeast,,,,,,,,,,
,t,tunggu,v,to *wait,,,adangi,Indonesian,,,,,,
,t,tungkangi,,,,,,,,tungkangi:,,,,
