0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
205,apé,pronoun,what,,,,,,,,,,,,,,,,,,,,"ape/ dang \df what else, what more, ape/ ka \df is  it the case? \sc  a sentence initial question-marker, based on an Indonesian form \il  apé ka kau pauli singga di kampung Is it the case that you can stop in the village? \df something \il  tahasil akang apé yang musi taparlí Let us produce s.t. which we necessarily require., ape/ mamisa \df codeword for sugar, ape/ parata \df codeword for salt, ape/ rangata \df codeword for condiments and chili peppers \af  apé-apé \df whatever, whatsoever, ape/-ape/ moyo \df It's no problem, nothing whatsoever \af  ape-pé \ps  pr \df whatever \crm  bunape/ \crm  kape/"
206,arabáp,noun,kind of single-stringed musical instrument <fiddle>,,,,,,,,,,,,,,,,,,,,
207,arak,noun,alcoholic beverage,,,,,,,,,,,,,,,,,,,,
208,arang,noun,charcoal,,,,,,,,,,,,,,,,,,,,
209,ararít,noun,"kind of plant with rhizomes, arrowroot,",,,,,,,,,,,,,Maranta arundinacea,,,plant,,,,
210,arat,intransitive verb,"tight, taut",bo sabua kita arat,united we are firm,,,,,,,,,,,,,,,,,arat-arat,
211,arat,adverb,"tightly, very tightly",basaláng kau yogo mupabua ia muikat arat-arat,"If you want to make it, fasten it very",,,,,,,,,,,,,,,,,paarati,
212,arat,verb,"to tighten (a cinch, etc.), to draw together, to strengthen the bonds of friendship, etc.",Kamai tapaarati pasaruma:ngina kita,Come! Let us strengthen this friendship of ours,,,,,,,,,,,,,,,,,,
213,ari,noun,day,dua ari,two days,ari bapaguna:ng de masigit,a day for working at the mosque,,,,,,,,,,,,,,,,
214,ari,particle,-day,ari saptu,Saturday,,,,,,,,,,,,marker for days of the week,,,,,,"ari bai \df yesterday, ari bai mulu bai \df day before yesterday, ari bai mulu bai sakalina \df three days ago, ari malang \df last night \crm  sari \crm  hari-hari"
215,arimata,noun,tear,,,,,,,,,,,,,,,,,,,,
