no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
1345,gaspár,intransitive verb,to be prone to break whatever is handled <accident-prone>,,,,,,,,,,,,,,,,,,,,,,FALSE
1346,gata₁,noun,"blood, sap",,,,,,,,,,,,,,,,body,,,bagata,,,FALSE
1347,gata₂,intransitive verb,"bloody, exuding blood or sap",,,,,,,,,,,,,,,,,,,,,,FALSE
1348,gatal₁,intransitive verb,to itch,,,,,,,,,,,,,,,,,,daung gatal ambon,bagatal,,,FALSE
1349,gatal₂,intransitive verb,to experience itchiness,,,,,,,,,,,,,,,,,,,,,,FALSE
1350,gau,noun,a paper cigarette wrapper,,,,,,,,,,,,,,,,,,,,,,FALSE
1351,gayang₁,noun,"kind of tree bearing edible fruit, the Otaheite chestnut",,,,,,,,,,,,,Inocarpus edulis,,,plant,,,,,,FALSE
1352,gayang₂,noun,"protruding rump of certain primates, esp. the endemic macaque of Bacan",,,,,,,,,,,,,,,,,,,,,,FALSE
1353,gawar₁,verb,"to move something from side to side, to oscillate something, to shake something",Kugawar tiang itu.,I wiggled the stake from side to side.,,,,,,,,,,,,,,,,,gawari,,,FALSE
1354,gawar₂,verb,to cause something to move from side to side repeatedly,Mugawari tangamu.,Wave your hand from side to side.,,,,,,,,,,,,,,,,,gawar akang,,,FALSE
1355,gawar₃,verb,to cause something to move back and forth at someone's request,Mugawar akang bue-bue.,Rock the cradle.,,,,,,,,,,,,,,,,,bagawar,,,FALSE
1356,gawar₄,intransitive verb,"to move from side to side, to move and sway rhythmically (as in a dance), to rustle (of leaves), to oscillate (of sound waves), to vibrate",,,,,,,,,,,,,,,,,,,pagawar akang,,,FALSE
1357,gawar₅,verb,to shake something vigorously to achieve something (e.g. to shake a tree to make fruit fall),,,,,,,,,,,,,,,,,,,nagawar,,,FALSE
1358,gawar₆,intransitive verb,"to be shaken, to unexplainedly shudder and shake",,,,,,,,,,,,,,,,,,,,,,FALSE
1359,gawat,,,,,,,,,,,,,,,,,,,,nawang gawat,,,,FALSE
1360,gegerang,intransitive verb,"to suffer hysteria, to shout and express great emotion because of a sudden wound or",,,,,,,,,,,,,,,,,,,,,,FALSE
1361,gele₁,intransitive verb,"to feel ticklish, to feel nauseous and unable to consume any more, e.g. because of drinking or eating",,,,,,,,,,,,,,,,,,,,,,FALSE
1362,gele₂,verb,to tickle someone,,,,,,,,,,,,,,,,,,,gele akang,,,FALSE
1363,gele₃,verb,to tickle someone at someone's request,,,,,,,,,,,,,,,,,,nyawa gele,,,,FALSE
1364,gero,noun,"thatch added to increase the capacity of a boat, a temporary strake",,,,,,,,,,,,,,,,boat,,,,,,FALSE
1365,gerot₁,verb,"to gnaw something (of rats), to chew or gnaw something (e.g. very hard sago bread)",ompu ruma mugerot capatuku po narebus-rebus,A rat gnawed at my shoes,now,,,,,,,,,,,,,,,,bagerot,,,FALSE
1366,gerot₂,intransitive verb,to engage in gnawing,,,,,,,,,,,,,,,,,,,bagerot-gerot,,,FALSE
1367,gerot₃,intransitive verb,to intensively or repeatedly gnaw,ari malang ompu ruma bagerot-gerot de lonteng,Last night the rats were gnawing,,,,,,,,,,,,,,,,,nagerot,,,FALSE
1368,gerot₄,intransitive verb,"to be shredded, torn or damaged by gnawing",,,,,,,,,,,,,,,,,,,nagerot-gerot,,,FALSE
1369,gerot₅,intransitive verb,to be severely damaged by gnawing or tearing (as if by gnawing),,,,,,,,,,,,,,,,,,,,,,FALSE
1370,geti,,,,,,,,,,,,,,,,,,,,pinang geti,,,,FALSE
1371,gigi,noun,tooth,,,,,,,,,,,,,,,,body,,,,"gigi fentol \df buck teeth <tooth> \sf  body, gigi karanga \df stump of a broken off tooth, gigi jat \df diseased or rotten teeth, gigi nogi \df toothless, missing several teeth \sf  health, gigi mangongot \df toothache \sf  health \af  bagigi \ps  vi \df to be toothed or fanged, to have teeth",,FALSE
1372,giginogi,noun,"kind of fish, the beaked leatherjacket",,,,,,,,,,,,,Oxymonacanthus longirostris,,,fish,,,,,,FALSE
1373,gigit₁,verb,to bite something,,,,,,,,,,,,,,,,,,porut magigit,gigiti,,,FALSE
1374,gigit₂,verb,to bite something for someone,,,,,,,,,,,,,,,,,,,gigit akang,,,FALSE
1375,gigit₃,verb,to bite something at someone's request,,,,,,,,,,,,,,,,,,,bagigitang,,,FALSE
1376,gigit₄,intransitive verb,to bite someone,,,,,,,,,,,,,,,,,,,bagibagigitang,,,FALSE
1377,gigit₅,intransitive verb,to bite someone (of several people),,,,,,,,,,,,,,,,,,,,,,FALSE
1378,gila₁,intransitive verb,to be crazy,,,,,,,,,,,,,,,,,,urumbo/,bagila,,,FALSE
1379,gila₂,intransitive verb,"to behave obsessively, e.g. sexual attraction, gambling obsession",bagila longgar,to drink obsessively,,,,,,,,,,,,,,,,,bagila-gila,,,FALSE
1380,gila₃,intransitive verb,"to undertake some impossible or inappropriate task, to behave in a ridiculous manner","cece bagila-gila, paotang",Don't act crazy,it's just too heavy (to lift by someone),,,,,,,,,,,,,,,,,,,FALSE
1381,ginogi,,,,,,,,,,,,,,,,,,,,giginogi,,,,FALSE
1382,giop₁,noun,kind of net used for deep-sea fishing,,,,,,,,,,,,,,,,,,,bagiop,,,FALSE
1383,giop₂,intransitive verb,to fish with such a net,,,,,,,,,,,,,,,,,,op,,,,FALSE
