hw,ps,df,il,gc,crm,sc,sf,id,df.,lw
ambulung,n,*sago *palm; [%*Metroxylon~|sp.] ; k.o. *sago palm with pale green thorns ; k.o. thornless *sago palm; with very sharp leaves ; k.o. large *sago palm ; k.o. *sago palm bearing little pith but harvested for its midribs and bark ; k.o. *sago palm ; k.o. large *sago palm ; k.o. *sago palm with a tapering base,bakaya de si ambulunga | You're going to process sago flour at whose sago palms?,,baku ; bakaya,,sago ; sago ; sago ; sago ; sago ; sago ; sago ; sago,ambulung duri puti ; ambulung licing ; ambulung pulutang ; ambulung nggani ; ambulung sike/ ; ambulung soang ; ambulung tirus,,
aming,,,,,ga aming,,,,,
aml,n,good *works; good *deeds,,,,,,,,
amo,n,k.o. *tree bearing edible *fruit; the *breadfruit; [%*Artocarpus~altilis|],,,bakar$1,said to be TM,,,,
ampa,,,,,ampat,,,,,
ampar,v,to *open~up; to *spread~out (e.g.; a sheet; a mat; etc.),,,,,,,,
ampar,v,to *spread s.t. out for s.o.,Ampari aku tikar. |Spread a mat for me.,,,,,,,
ampar,v,to *spread s.t. out (at s.o.'s request),,,,,,,,
ampar,vi,to be *spread~out ; to *sleep indiscriminately on the floor,Ari malang kami tidu baampar. |Last night we slept on mats.,,,,,,,
ampar,vi,*fallen down (of broad flat objects; e.g. a sheet of plywood or zinc roofing),,,,,,,,
ampas,v,to *strike down,,,,,,,,
ampas,n,*sediment,te ampasa | tea dregs,,,,,,,
ampas,v,to *fall~on s.t. or s.o.,Kayu muampasi rumana. |A tree fell on his house.,,,,,,,
ampas,vi,to *trip and to *fall ; to have *collapse|d,barang ribut kap nang kayu naampas| Because of the typhoon; what else?; the trees,,,,,,,
ampas,v,to have *fall|en on s.t.,,,,,,,,
ampat,num,*four,,,,,,,,
ampong,n,*forgiveness (esp. of s.o. of higher status); *absolution,Harap ampong de kami dangang. |We hope you'll forgive us.,,,,,,,
amporing,n,k.o. *legume (requiring boiling); *rice~bean;  [%*Vigna~umbellata|] ; k.o. *bean; *mung~bean;  [%*Vigna~radiata|] ; k.o. *bean ; k.o. *vine; [%*Vigna~marina|] ; k.o. *vine ; k.o. red *bean ; k.o. *shrub; [%*Tephrosia~purpurea|],,,biraro ; kacang,,food ; food ; food ; plant ; food ; plant,amporing ijo ; amporing kayu ; amporing paisu ; amporing sela ; amporing tanggalaot,,
ampung,,,,,ampong,,,,,
ampunokang,,,,,mampunokang,,,,,
amuk,,,,,mangamuk,,,,,
ana seni,n,*children; *youth; *kids,ini ana seni sakarang basalng pasi duduk bangaji ilakat bacarita | Kids nowadays; if,,,,,,,
ana-anadara,vi,*immature; not *full-grown (of trees),,,,,,,,
anagakang,v,to *pawn s.t.,,,,,,,,
anagakang,v,to pawn s.t. for s.o.,kau muanagakangi radioku ini hadiki | Please pawn my radio for me.,,,,,,,
anagakang,v,to pawn s.t. at s.o.'s request,,,,,,,,
anagakang,vi,to engage in pawning,ia tala rugi po ia baanagakang binina amasa| He suffered a financial loss and then took,,,,,,,
anak,n,*child; *offspring ; first child; *eldest child ; *baby; *infant ; illegitimate child <*bastard> ; *nephew; *niece ; *twin ; motherless child; *orphan ; *foster-child; adopted child ; *step-child ; *step-child ; fatherless child; *orphan ; *orphan; with both parents dead ; *miscarriage,anaku | my child ; perna bawali inycana muba: anaka sondor surat | Once Bawali over there was traveling,,kamanakang ; kambar,,kinship ; health,anak aono ; anak dede ; anak hara/m jada ; anak kamanakang ; anak kambar ; anak piatu ; anak piara ; anak tiri ; anak watok ; anak yati/m ; anak yati/m piatu ; anaka rodak,,
anak,vi,to give *birth; to have a *baby,,,,,,,,
anak,v,to give birth to s.o.,,,losung anaka ; ana seni ; andeket ; paranakang ; saparnakang ; sapasanakang,,,,,
anam,num,*six; esp. in compounds,anam ratus | six hundred ; anam pulu | sixty,,anang,,,,,
anandeket,,,,,andeket,,,,,
anang,num,*six,anang ari | six days,,anam,,,,,
anasage,n,k.o. *fish; the *Dart or *Swallowtail;; incl. [%*Trachinotus~blochi|],,,,,fish,,,
andaing,,,,,adaing,,,,,
andap,v,to *peek,,,,,,,,
andap,v,to *peek at s.o.,,,,,,,,
andap,v,to *peek at s.o. at the request of another,Kuandap akang andeket haiku de ruma palika. |I peeked at a kid on the side of the,,,,,,,
andap,vi,to engage in *peek|ing and *peep|ing,,,,,,,,
ande-ande$1,n,popular *term; esp. a *codeword; *catchword; *nickname,,,,,,,,
ande-ande$1,v,to provide a nick*name; to label s.o.,Kuande-ande akang ia | I gave him an unflattering nickname,,,,,,,
ande-ande$2,conj,*if,ande-ande saiku lima pulu ...| If one fish is fifty (rupiah)...,,,,,,,
andeket,n,a *young~person; *youth,andeket jawa ini katakutang | This Javanese youth became frightened.,,anak,,,,,
anei,n,k.o. sea *fish; incl. *Coral~trout and *Tiger~trout; [%*Plectropoma~maculatum|],,,,,fish,,,
aniaya,v,to *ruin s.t. ; to *beat s.o. thoroughly,manusia muaniaya itu kaleronta| Someone ruined it; our bonfire,,,,,,,
antara,prep,*between,antara fini nang fini | between planting seeds,,mamananga,,,,,
